
2025/02/11 (00:20:05) | ===> btop++ v.1.4.0
2025/02/11 (00:20:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (00:20:08) | ===> btop++ v.1.4.0
2025/02/11 (00:20:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (13:17:28) | ===> btop++ v.1.4.0
2025/02/11 (13:17:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (13:27:14) | ===> btop++ v.1.4.0
2025/02/11 (13:27:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (13:27:39) | ===> btop++ v.1.4.0
2025/02/11 (13:27:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (13:27:49) | ===> btop++ v.1.4.0
2025/02/11 (13:27:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (13:28:14) | ===> btop++ v.1.4.0
2025/02/11 (13:28:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (21:07:34) | ===> btop++ v.1.4.0
2025/02/11 (21:07:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/12 (00:55:42) | ===> btop++ v.1.4.0
2025/02/12 (00:55:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (15:01:46) | ===> btop++ v.1.4.0
2025/02/17 (15:01:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (15:15:19) | ===> btop++ v.1.4.0
2025/02/17 (15:15:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (15:20:10) | ===> btop++ v.1.4.0
2025/02/17 (15:20:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (20:33:49) | ===> btop++ v.1.4.0
2025/02/17 (20:33:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (20:37:33) | ===> btop++ v.1.4.0
2025/02/17 (20:37:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (11:22:56) | ===> btop++ v.1.4.0
2025/02/19 (11:22:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (20:51:01) | ===> btop++ v.1.4.0
2025/02/19 (20:51:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/23 (00:01:39) | ===> btop++ v.1.4.0
2025/02/23 (00:01:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (14:30:50) | ===> btop++ v.1.4.0
2025/02/26 (14:30:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (14:30:56) | WARNING: Failed to join _runner thread on exit!

2025/02/26 (14:30:58) | ===> btop++ v.1.4.0
2025/02/26 (14:30:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (13:41:10) | ===> btop++ v.1.4.0
2025/02/27 (13:41:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/04 (19:20:08) | ===> btop++ v.1.4.0
2025/03/04 (19:20:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/04 (23:13:52) | ===> btop++ v.1.4.0
2025/03/04 (23:13:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/10 (19:33:00) | ===> btop++ v.1.4.0
2025/03/10 (19:33:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (20:10:22) | ===> btop++ v.1.4.0
2025/03/15 (20:10:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
